N	Z	A	El	Mass Excess	Binding Energy	Decay Channel
1	0	1	n 	8071.31713	0	Bminus
0	1	1	H 	7288.97061	0	Stable
1	1	2	H 	13135.72176	1112.283	Stable
2	1	3	H 	14949.80993	2827.265	Bminus
1	2	3	He	14931.21793	2572.68	Stable
0	3	3	Li	28667	-2267	P
3	1	4	H 	24621.127	1720.449	N
2	2	4	He	2424.91561	7073.915	Stable
1	3	4	Li	25323.189	1153.76	P
4	1	5	H 	32892.444	1336.359	N
3	2	5	He	11231.233	5512.132	N
2	3	5	Li	11678.886	5266.132	alpha
1	4	5	Be	37139	18	P
5	1	6	H 	41875.721	961.639	N
4	2	6	He	17592.095	4878.519	Bminus
3	3	6	Li	14086.87895	5332.331	Stable
2	4	6	Be	18375.033	4487.247	alpha
1	5	6	B 	47320	-467	P
6	1	7	H 	49135	940	N
5	2	7	He	26073.126	4123.057	N
4	3	7	Li	14907.10529	5606.439	Stable
3	4	7	Be	15768.999	5371.548	Bplus
2	5	7	B 	27676.55	3558.705	P
6	2	8	He	31609.681	3924.52	Bminus
5	3	8	Li	20945.804	5159.712	alpha
4	4	8	Be	4941.671	7062.435	alpha
3	5	8	B 	22921.567	4717.155	alpha
2	6	8	C 	35064.268	3101.524	P
7	2	9	He	40935.826	3349.037	N
6	3	9	Li	24954.902	5037.768	Bminus
5	4	9	Be	11348.453	6462.668	Stable
4	5	9	B 	12416.488	6257.07	alpha
3	6	9	C 	28910.972	4337.423	Bplus
8	2	10	He	49197.143	2995.134	N
7	3	10	Li	33052.624	4531.351	N
6	4	10	Be	12607.488	6497.63	Bminus
5	5	10	B 	12050.609	6475.083	Stable
4	6	10	C 	15698.672	6032.042	Bplus
3	7	10	N 	38800.026	3643.672	P
8	3	11	Li	40728.254	4155.381	Bminus
7	4	11	Be	20177.167	5952.54	Bminus
6	5	11	B 	8667.707	6927.732	Stable
5	6	11	C 	10649.396	6676.456	Bplus
4	7	11	N 	24303.559	5364.046	P
9	3	12	Li	49009.571	3791.6	N
8	4	12	Be	25077.76	5720.722	Bminus
7	5	12	B 	13369.397	6631.223	Bminus
6	6	12	C 	0	7680.144	Stable
5	7	12	N 	17338.068	6170.109	Bplus
4	8	12	O 	31914.613	4890.202	P
10	3	13	Li	56980.888	3507.63	x
9	4	13	Be	33659.077	5241.435	N
8	5	13	B 	16561.947	6496.419	Bminus
7	6	13	C 	3125.00888	7469.849	Stable
6	7	13	N 	5345.481	7238.863	Bplus
5	8	13	O 	23115.432	5811.763	Bplus
10	4	14	Be	39954.498	4993.897	Bminus
9	5	14	B 	23663.685	6101.644	Bminus
8	6	14	C 	3019.89278	7520.319	Bminus
7	7	14	N 	2863.41672	7475.614	Stable
6	8	14	O 	8007.781	7052.278	Bplus
5	9	14	F 	31964.402	5285.208	P
11	4	15	Be	49825.815	4540.97	N
10	5	15	B 	28958.242	5879.985	Bminus
9	6	15	C 	9873.144	7100.169	Bminus
8	7	15	N 	101.43871	7699.46	Stable
7	8	15	O 	2855.605	7463.692	Bplus
6	9	15	F 	16566.751	6497.459	P
5	10	15	Ne	40215.373	4868.728	xx
12	4	16	Be	57447.132	4285.285	N
11	5	16	B 	37112.51	5507.302	N
10	6	16	C 	13694.132	6922.054	Bminus
9	7	16	N 	5683.907	7373.796	Bminus
8	8	16	O 	-4737.00135	7976.206	Stable
7	9	16	F 	10680.253	6963.731	P
6	10	16	Ne	23986.776	6083.177	P
12	5	17	B 	43716.317	5269.667	Bminus
11	6	17	C 	21031.898	6558.024	Bminus
10	7	17	N 	7870.079	7286.229	Bminus
9	8	17	O 	-808.76348	7750.728	Stable
8	9	17	F 	1951.702	7542.328	Bplus
7	10	17	Ne	16500.447	6640.499	Bplus
